id;town;road;number;plz;country;operator
100;Aachen (Shell);Prager Ring;106;52070;DE;H2 MOBILITY
101;Aalborg;Hobrovej;461;9200;DK;Copenhagen Hydrogen Network A/S
102;Aarhus;Logistikparken;12;8220;DK;Danish Hydrogen Fuel A/S
103;Aberdeen City Hydrogen Energy Storage (ACHES);Aberdeen City Hydrogen Energy Storage, Langdykes Road, Cove;unknown streetnr;AB12 3HA;GB;Aberdeen City Council
104;Aberdeen Kittybrewster;Powis terrace;unknown streetnr;AB25 3RF;GB;Aberdeen City Council
105;Alma -Paris (Air Liquide);Place de l'Alma;unknown streetnr;75008;FR;Air Liquide FR
106;Arlanda;Pilotvägen;2;190 60;SE;AGA Linde
108;ASKO MIDT-NORGE AS;Østre Rosten;104;7075;NO;unknown operatorname
109;Asten (OMV);An der Bundesstraße;1;4481;AT;OMV AT
111;Bad Rappenau (Autohof 24);Buchäckerring;40;74906;DE;H2 MOBILITY
112;Bayreuth (Shell);Christian-Ritter-von-Langheinrich;2;95448;DE;H2 MOBILITY
113;Beaconsfield;Shell Beaconsfield, Extra Motorway Service Area, M40 Junction 2, A355, Widnsor Drive;unknown streetnr;HP9 2SE;GB;ITM Power
114;Berg bei Hof (Shell);Sieggrubenstraße ;5;95180;DE;H2 MOBILITY
116;Berlin - Heerstraße (TOTAL);Heerstraße;37;14055;DE;H2 MOBILITY
117;Berlin - Heidestraße (TOTAL);Heidestraße;19;10557;DE;H2 MOBILITY
118;Berlin - Holzmarktstraße (TOTAL);Holzmarktstraße;36 - 42;10243;DE;H2 MOBILITY
119;Berlin - Rothenbachstr. (Shell);Rothenbachstr. ;1;13089		;DE;H2 MOBILITY
121;Berlin - Sachsendamm (Shell);Sachsendamm;90 - 92;10829;DE;H2 MOBILITY
125;Bozen (H2 Center);Via Enrico Mattei;1;39100;IT;iit – Institut für innovative Technologien
128;Bremen (Shell);Osterholzer Heerstraße;222;28325;DE;H2 MOBILITY
132;Copenhagen Ring - Gladsaxe;Dynamovej;2;2730;DK;Copenhagen Hydrogen Network A/S
133;Copenhagen South / Sydhavnen;Borgmester christiansens gade;59;2450;DK;Copenhagen Hydrogen Network A/S
134;Copenhagen West / Köge;Servicevej;2;4600;DK;Copenhagen Hydrogen Network A/S
135;DATS 24 Halle Dassenveld;Zinkstraat;1;1500;BE;DATS 24
136;Derching (OMV);Winterbruckenweg			;53;86316;DE;H2 MOBILITY
138;Dresden (TOTAL);Wiener Strasse;39;01069;DE;H2 MOBILITY
139;Duisburg (TOTAL);Am Schlütershof ;27;unknown zip;DE;H2 MOBILITY
140;Düsseldorf - Höherweg (Air Liquide);Höherweg;202;40233;DE;Air Liquide
141;Düsseldorf - Oerschbachstraße (Air Liquide);Oerschbachstraße;71;40589;DE;Air Liquide
142;Empa move - Dübendorf;Empa Campus, Überlandstraße;129;8600;CH;Empa (Abteilung Fahrzeugantriebssysteme)
145;Esbjerg;Darumvej;145;6700;DK;Danish Hydrogen Fuel A/S
146;Essen (Shell);Katernberger Str.		;99;45327;DE;H2 MOBILITY
147;Fellbach (TOTAL);Ohmstraße;25;70736;DE;H2 MOBILITY
149;Frankfurt - Hanauer Landstr. (Shell);Hanauer Landstr.;334;60314;DE;H2 MOBILITY
150;Frankfurt - Industriepark Höchst (AGIP);Industriepark Höchst Tor-Süd;unknown streetnr;65926;DE;Agip
152;Frechen - Kölner Straße (Air Liquide);Kölner Straße;209;50226 ;DE;H2 MOBILITY
153;Freiburg Fraunhofer ISE Station;Heidenhofstraße;3;79110;DE;FhG ISE
154;Fürholzen West - Rasthof (Tank & Rast);BAB9 / Günzenhauser Straße ;9;85376;DE;Autobahn Tank &  Rast GmbH
155;Fürth (Shell);Hans-Vogel-Str. ;55;90765;DE;H2 MOBILITY
156;Gardermoen, Oslo Airport;Parking P5, Edvard Grieg Road;116;2060;NO;HYOP
158;Geiselwind (TOTAL);Scheinfelder Straße;23;96160;DE;H2 MOBILITY
159;Geisingen (Shell);Bodenseestraße;19;78187;DE;H2 MOBILITY
160;Graz (OMV);Ostbahnstraße;10;8041;AT;OMV AT
162;Hagenow (Shell);Sudenhofer Strasse	;2;19230;DE;H2 MOBILITY
163;Halle / Saale;Blücherstraße;7;06122;DE;H2 MOBILITY
165;Hamburg - Bramfelder Chaussee (Shell);Bramfelder Chaussee;370;22175;DE;H2 MOBILITY
167;Hamburg - HafenCity;Oberbaumbrücke;1;20457;DE;H2 MOBILITY
169;Hamburg - Schnackenburgallee (Shell);Schnackenburgallee;12;22525;DE;H2 MOBILITY
170;Handewitt (Shell);Lecker Chausee;36;24983;DE;H2 MOBILITY
171;Hannover (Linde);Industrieweg;30;30179;DE;H2 MOBILITY
172;Hasbergen (TOTAL);Hauptstraße ;107;49205;DE;H2 MOBILITY
