country;long;lat
nl_import;5.387827;52.156113
nl_export;6.387827;52.156113
lu_import;6.103210;49.745998
lu_export;7.103210;49.745998
fr_import;2.398782;47.081013
fr_export;3.398782;47.081013
ch_import;8.400650;46.819950
ch_export;9.400650;46.819950
au_import;14.322770;47.554008
au_export;15.322770;47.554008
cz_import;15.781199;50.034309
cz_export;16.781199;50.034309
pl_import;19.455982;51.759247
pl_export;20.455982;51.759247
dk_import;8.973180;56.138481
dk_export;8.973180;56.138481
sw_import;15.621373;58.410809
sw_export;16.621373;58.410809
net_export;9.494630;51.318729
